Average Throughput[kbps] = 3970.80		 StartTime=0.00	StopTime=30.03
Average Throughput[kbps] = 4823.55		 StartTime=0.00	StopTime=30.04
Average Throughput[kbps] = 4462.37		 StartTime=0.00	StopTime=30.01
Average Throughput[kbps] = 4250.26		 StartTime=0.00	StopTime=30.05
Average Throughput[kbps] = 4387.24		 StartTime=0.00	StopTime=30.03
Average Throughput[kbps] = 5096.48		 StartTime=0.00	StopTime=29.67
Average Throughput[kbps] = 3792.68		 StartTime=0.00	StopTime=30.03
Average Throughput[kbps] = 3794.32		 StartTime=0.00	StopTime=30.02
Average Throughput[kbps] = 4242.73		 StartTime=0.00	StopTime=31.66
Average Throughput[kbps] = 4932.72		 StartTime=0.00	StopTime=30.51
Average Throughput[kbps] = 3513.59		 StartTime=0.00	StopTime=30.03
Average Throughput[kbps] = 5079.75		 StartTime=0.00	StopTime=30.07
Average Throughput[kbps] = 2813.40		 StartTime=0.00	StopTime=30.07
Average Throughput[kbps] = 4277.40		 StartTime=0.00	StopTime=30.01
Average Throughput[kbps] = 4536.20		 StartTime=0.00	StopTime=30.06
Average Throughput[kbps] = 4442.08		 StartTime=0.00	StopTime=30.08
Average Throughput[kbps] = 4354.26		 StartTime=0.00	StopTime=30.00
Average Throughput[kbps] = 4337.07		 StartTime=0.00	StopTime=30.02
Average Throughput[kbps] = 1533.49		 StartTime=0.00	StopTime=30.53
Average Throughput[kbps] = 2686.99		 StartTime=0.00	StopTime=31.51
Average Throughput[kbps] = 4528.53		 StartTime=0.00	StopTime=30.11
Average Throughput[kbps] = 3940.38		 StartTime=0.00	StopTime=30.04
Average Throughput[kbps] = 3772.62		 StartTime=0.00	StopTime=30.02
Average Throughput[kbps] = 3814.02		 StartTime=0.00	StopTime=30.03
Average Throughput[kbps] = 4799.40		 StartTime=0.00	StopTime=30.04
Average Throughput[kbps] = 3676.69		 StartTime=0.00	StopTime=30.06
Average Throughput[kbps] = 5204.08		 StartTime=0.00	StopTime=30.48
